,SRC,DST
2058,13175,13309
2087,13193,13225
2092,13195,13221
2107,13201,13253
2136,13221,13317
2163,13243,13273
2164,13243,13307
2169,13247,13297
2174,13251,45005
2197,13271,13309
2198,13271,13315
2200,13273,13307
2203,13277,13287
2208,13281,13291
2210,13281,37043
2215,13287,13315
2222,13291,37043
2230,13301,13317
2251,16001,16015
2254,16001,16045
2255,16001,16073
2257,16003,16045
2265,16005,16029
2266,16005,16041
2270,16007,16029
2271,16007,16041
2273,16007,49033
2289,16013,16023
2290,16013,16025
2294,16013,16063
2295,16013,16067
2300,16015,16045
2304,16017,16055
2306,16017,30053
2307,16017,30089
2308,16017,53051
2321,16023,16033
2324,16023,16059
2327,16025,16047
2328,16025,16063
2335,16029,16041
2346,16033,16043
2348,16033,16059
2349,16033,30001
2369,16041,49033
2372,16043,16065
2374,16043,30001
2375,16043,30031
2379,16045,16075
2384,16047,16063
2409,16059,30001
2410,16059,30081
2412,16061,16069
2414,16063,16067
2428,16073,32007
2430,16073,41045
2433,16075,41045
2462,17005,17051
2464,17005,17135
2473,17009,17017
2475,17009,17149
2476,17009,17169
2493,17015,17085
2495,17015,17177
2496,17015,17195
2504,17017,17169
2518,17023,17029
2519,17023,17033
2520,17023,17035
2521,17023,17045
2522,17023,17079
2524,17023,18167
2539,17029,17035
2541,17029,17045
2542,17029,17139
2543,17029,17173
2545,17031,17043
2546,17031,17089
2548,17031,17111
2549,17031,17197
2550,17031,18089
2552,17031,26021
2554,17033,17079
2555,17033,17101
2556,17033,17159
2557,17033,18083
2560,17035,17049
2561,17035,17079
2562,17035,17173
2564,17037,17089
2568,17037,17111
2570,17037,17201
2582,17043,17089
2584,17043,17197
2588,17045,18167
2590,17047,17159
2591,17047,17185
2595,17049,17051
2596,17049,17079
2597,17049,17173
2599,17051,17121
2600,17051,17135
2601,17051,17173
2611,17055,17081
2612,17055,17145
2613,17055,17165
2617,17057,17109
2620,17057,17169
2631,17061,17083
2634,17061,17149
2635,17061,17171
2640,17063,17105
2641,17063,17197
2649,17067,17109
2650,17067,17169
2651,17067,19111
2653,17067,29111
2684,17079,17159
2686,17081,17121
2687,17081,17145
2688,17081,17189
2695,17085,17177
2698,17085,55043
2699,17085,55065
2701,17087,17127
2702,17087,17151
2704,17087,17165
2705,17087,17181
2709,17089,17111
2736,17101,17159
2737,17101,17185
2738,17101,18083
2753,17109,17169
2757,17111,55127
2779,17121,17189
2784,17123,17175
2791,17127,17151
2793,17127,21139
2794,17127,21145
2801,17131,19115
2804,17133,17163
2805,17133,29099
2806,17133,29186
2810,17135,17173
2817,17139,17173
2828,17145,17189
2831,17149,17171
2833,17149,29163
2834,17149,29173
2836,17151,17165
2838,17151,21139
2850,17159,17185
2859,17163,17189
2861,17163,29510
2870,17177,17201
2871,17177,55045
2872,17177,55065
2877,17181,29031
2878,17181,29157
2886,17185,18083
2897,17197,18089
2900,17201,55045
2906,18001,18179
2940,18011,18097
2941,18011,18107
2950,18015,18067
2952,18015,18181
2961,18019,18077
2962,18019,18143
2963,18019,18175
2965,18019,21185
2981,18025,18037
2982,18025,18061
2983,18025,18117
2985,18025,18175
2986,18025,21163
2988,18027,18037
2990,18027,18083
2991,18027,18101
2992,18027,18125
3001,18031,18047
3003,18031,18137
3004,18031,18139
3009,18033,18151
3011,18033,39171
3013,18035,18053
3019,18037,18101
3020,18037,18117
3022,18037,18125
3023,18037,18147
3024,18037,18173
3050,18047,18137
3051,18047,18139
3052,18047,18161
3069,18053,18067
3070,18053,18069
3072,18053,18103
3074,18053,18169
3075,18053,18179
3091,18059,18097
3092,18059,18139
3095,18061,18175
3098,18061,21163
3110,18067,18103
3113,18069,18169
3114,18069,18179
3137,18077,18137
3138,18077,18143
3150,18083,18125
3153,18085,18099
3155,18085,18169
3171,18093,18101
3173,18093,18117
3174,18093,18175
3181,18099,18131
3182,18099,18141
3183,18099,18149
3185,18101,18117
3187,18103,18169
3207,18117,18175
3220,18125,18173
3226,18129,21101
3229,18131,18149
3230,18131,18181
3240,18141,18149
3241,18141,26021
3242,18141,26027
3244,18143,18175
3247,18147,18173
3248,18147,21059
3249,18147,21091
3252,18151,26023
3254,18151,39171
3266,18161,18177
3268,18161,39135
3280,18173,21059
3281,18173,21101
3284,18177,39037
3285,18177,39135
3290,19001,19003
3292,19001,19029
3293,19001,19049
3294,19001,19077
3295,19001,19121
3296,19001,19175
3298,19003,19029
3299,19003,19137
3301,19003,19159
3302,19003,19173
3303,19003,19175
3305,19005,19043
3306,19005,19065
3307,19005,19191
3308,19005,27055
3326,19011,19013
3332,19011,19171
3334,19013,19017
3336,19013,19023
3337,19013,19065
3339,19013,19171
3341,19015,19049
3342,19015,19073
3344,19015,19153
3349,19017,19023
3351,19017,19065
3352,19017,19067
3361,19021,19041
3365,19021,19151
3366,19021,19161
3368,19023,19033
3370,19023,19067
3373,19023,19083
3387,19029,19077
3388,19029,19137
3399,19033,19067
3401,19033,19081
3402,19033,19131
3405,19033,19197
3429,19041,19059
3430,19041,19063
3434,19041,19151
3438,19043,19065
3439,19043,19191
3441,19043,55043
3454,19049,19073
3455,19049,19077
3456,19049,19121
3457,19049,19153
3483,19059,19063
3498,19065,19191
3501,19067,19089
3502,19067,19131
3510,19071,19129
3511,19071,19137
3513,19071,29005
3514,19071,31025
3515,19071,31131
3517,19073,19077
3524,19077,19121
3535,19081,19197
3539,19083,19197
3547,19087,19101
3548,19087,19111
3549,19087,19115
3551,19087,19183
3553,19089,19131
